Fecha;Último;Apertura;Máximo;Mínimo;Volumen
01.12.2025;89.776;90.372;94.591;83.858;70.970.000
01.11.2025;90.374;109.602;111.229;80.697;24.000.000
01.10.2025;109.602;114.048;126.186;103.632;24.000.000
01.09.2025;114.048;108.247;117.910;107.274;14.000.000
01.08.2025;108.226;115.766;124.436;107.433;18.000.000
01.07.2025;115.765;107.176;123.104;105.163;18.000.000
01.06.2025;107.171;104.598;110.404;98.249;15.000.000
01.05.2025;104.598;94.181;111.953;93.408;23.000.000
01.04.2025;94.184;82.548;95.718;74.524;29.000.000
01.03.2025;82.548;84.353;94.986;76.677;27.000.000
01.02.2025;84.381;102.421;102.770;78.329;20.000.000
01.01.2025;94.536;94.600;95.928;89.423;55.000.000
01.12.2024;93.557;96.404;108.244;91.522;41.000.000
01.11.2024;96.405;70.278;99.617;66.834;46.000.000
01.10.2024;70.281;63.329;73.569;59.075;26.000.000
01.09.2024;63.339;58.975;66.440;52.644;24.000.000
01.08.2024;58.978;64.625;65.587;49.486;26.000.000
01.07.2024;64.626;62.768;70.000;53.883;26.000.000
01.06.2024;62.754;67.533;71.956;58.589;10.000.000
01.05.2024;67.530;60.665;71.872;56.643;20.000.000
01.04.2024;60.666;71.329;72.710;59.228;26.000.000
01.03.2024;71.332;61.157;73.740;60.138;20.000.000
01.02.2024;61.169;42.580;63.915;41.890;14.000.000
01.01.2024;42.580;42.272;48.923;38.546;23.000.000
01.12.2023;42.272;37.712;44.697;37.618;13.000.000
01.11.2023;37.712;34.648;38.400;34.124;18.000.000
01.10.2023;34.650;26.962;35.191;26.558;11.000.000
01.09.2023;26.962;25.938;27.480;24.923;15.000.000
01.08.2023;25.937;29.232;30.168;25.481;14.000.000
01.07.2023;29.232;30.472;31.764;28.890;13.000.000
01.06.2023;30.472;27.216;31.395;24.838;17.000.000
01.05.2023;27.216;29.252;29.816;25.853;16.000.000
01.04.2023;29.252;28.473;30.964;27.054;23.000.000
01.03.2023;28.473;23.130;29.160;19.591;106.000.000
01.02.2023;23.130;23.124;25.236;21.418;99.000.000
01.01.2023;23.125;16.537;23.952;16.499;88.000.000
01.12.2022;16.537;17.163;18.351;16.331;61.000.000
01.11.2022;17.163;20.496;21.464;15.504;100.000.000
01.10.2022;20.496;19.422;21.038;18.207;89.000.000
01.09.2022;19.423;20.049;22.702;18.191;101.000.000
01.08.2022;20.043;23.303;25.205;19.542;65.000.000
01.07.2022;23.303;19.926;24.605;18.794;59.000.000
01.06.2022;19.926;31.793;31.969;17.630;39.000.000
01.05.2022;31.793;37.642;40.021;26.500;47.000.000
01.04.2022;37.650;45.529;47.435;37.596;124.000.000
01.03.2022;45.525;43.187;48.199;37.182;430.000.000
01.02.2022;43.188;38.475;45.755;34.357;12.000.000
01.01.2022;38.498;46.217;47.944;32.985;23.000.000
01.12.2021;46.219;56.891;59.064;42.587;10.000.000
01.11.2021;56.882;61.310;68.990;53.448;15.000.000
01.10.2021;61.309;43.824;66.967;43.292;28.000.000
01.09.2021;43.823;47.129;52.885;39.646;21.000.000
01.08.2021;47.130;41.510;50.498;37.365;24.000.000
01.07.2021;41.553;35.030;42.285;29.310;24.000.000
01.06.2021;35.026;37.294;41.318;28.901;44.000.000
01.05.2021;37.298;57.719;59.523;30.261;53.000.000
01.04.2021;57.720;58.763;64.778;47.098;27.000.000
01.03.2021;58.763;45.160;61.795;45.008;31.000.000
01.02.2021;45.164;33.106;58.335;32.324;41.000.000
01.01.2021;33.108;28.951;41.921;28.204;50.000.000
01.12.2020;28.949;19.697;29.298;17.600;35.000.000
01.11.2020;19.698;18.394;19.831;16.235;45.000.000
01.10.2020;13.797;10.776;14.065;10.387;21.000.000
01.09.2020;10.776;11.644;12.045;9.877;838.000.000
